column,missing_rate
dlcq,0.14219384793964016
dlttq,0.06034009657258144
asset_turnover,0.05402300212017483
roa,0.05383348928660263
ceqq,0.053778214710144066
atq,0.053000422455691504
ltq,0.052988577903593244
cheq,0.05295304424729846
cogsq,0.0501774708722723
saleq,0.04906013479100288
niq,0.04885877740533242
prclq,0.03684445339366159
prccq,0.03684445339366159
naics,0.0011291806333676825
tic,2.763728822927894e-05
PERMNO,0.0
fyearq,0.0
LPERMNO,0.0
rdq,0.0
sic,0.0
fqtr,0.0
costat,0.0
vol_d,0.0
n_days,0.0
prc_end,0.0
mv_end,0.0
vol_avg,0.0
date,0.0
curcdq,0.0
ret_m,0.0
datafmt,0.0
indfmt,0.0
consol,0.0
datadate,0.0
gvkey,0.0
cusip,0.0
rdq_month,0.0
