,count,mean,std,min,1%,5%,50%,95%,99%,max
PERMNO,253281.0,47545.72839652402,32359.41753848741,10026.0,10696.0,12895.0,26384.0,91626.0,93150.0,93436.0
ret_m,253281.0,0.013908668496287625,0.1544898026826577,-0.86218464,-0.33057232799999997,-0.19127059,0.0041110516,0.24204159,0.49410073400000054,13.616675
vol_d,253281.0,0.027916328578069187,0.020111107972614423,0.0001658472,0.0024117960000000003,0.008097631,0.02270009,0.06448505,0.1032392088,0.36878785
n_days,253281.0,20.885565833994654,1.2495028072036918,15.0,18.0,19.0,21.0,23.0,23.0,23.0
prc_end,253281.0,65.60958596734852,180.0269856150232,5.0,5.25,6.45,26.6,225.04,536.9600000000006,9811.8
mv_end,253281.0,14176930.407481922,88910159.06078465,1684.7599,29506.6878,87377.36,1605495.8,51536220.0,198131770.0000001,4921519600.0
vol_avg,253281.0,1641038.9640712333,5608435.794605148,0.0,2223.75746,11061.728,434839.8,6153926.0,20516570.40000001,375608260.0
gvkey,253281.0,60323.91173439776,65602.91672758067,1004.0,1598.0,3964.0,32771.0,184287.0,268208.0,366911.0
naics,252995.0,414936.01305164135,168623.3065850057,42.0,332.0,5311.0,481111.0,611630.0,999977.0,999990.0
sic,253281.0,5055.564918015959,1992.6311997645125,100.0,1040.0,1700.0,5331.0,7990.0,9995.0,9997.0
fqtr,253281.0,2.469581216119646,1.0840322421782678,1.0,1.0,1.0,3.0,4.0,4.0,4.0
fyearq,253281.0,2022.1678451996004,1.7488022307406492,2019.0,2019.0,2020.0,2022.0,2025.0,2025.0,2026.0
atq,239857.0,21451.221618943786,134706.11675320478,0.013,20.00204,87.77600000000004,2251.955,63616.59999999986,333008.04000000097,4560205.0
ceqq,239660.0,4055.0557218100635,17299.239528265738,-23552.0,-1020.1851599999995,2.722,671.622,16312.12839999994,61777.700000000244,698155.0
cheq,239869.0,2776.446233214797,27179.089703586513,0.0,0.38967999999999986,6.3,221.454,5285.999999999884,34800.0,1056407.0
cogsq,240572.0,1061.0593257278488,4800.465801454613,-36415.0,0.0,0.0,105.071,3821.0,17001.93000000014,132798.0
dlcq,217266.0,1465.3257656421165,16870.751975285206,0.0,0.0,0.0,25.5,2384.0,13084.0,660633.0
dlttq,237998.0,3763.064222247245,15623.50325538937,-0.402,0.0,0.214,430.131,15292.0,52012.0,436517.0
ltq,239860.0,17125.681372108727,122292.52418919893,0.0,2.5801800000000004,15.5,1355.44,45251.19999999995,271264.0,4199993.0
niq,240906.0,150.29145594132154,1064.8650200687223,-49746.0,-455.259,-85.896,10.707,702.21825,2824.0,39646.0
saleq,240855.0,1653.6769760063107,6822.450971948482,-37954.0,0.0,0.0,219.093,6151.060499999959,26881.579999998183,187792.0
prccq,243949.0,66.0083302631738,177.33849151570345,0.0299,3.63,6.17,27.69,224.88,529.97,9811.8
prclq,243949.0,56.120019290185844,154.85137017061072,0.0011,2.19,4.631,22.91,192.88,457.59,7986.0
LPERMNO,253281.0,47545.72839652402,32359.41753848741,10026.0,10696.0,12895.0,26384.0,91626.0,93150.0,93436.0
roa,239646.0,-0.009867215889988548,0.8546370772423983,-235.59477124183007,-0.25855081586891765,-0.10566351968004467,0.0044468467397862504,0.04789716732031478,0.1017502653332234,11.96907695884678
asset_turnover,239598.0,0.15534357981226707,0.18139016078075443,-0.1733834728726172,0.0,0.0,0.1145882352941176,0.4442794111507713,0.7481582794024298,13.386009586578789
