,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
vol_d,-0.14048422962032556,0.018094404634806698,-0.15845865067521178,0.5583264451780637,0.5459214181740075,-0.39112386845388636,-0.4186242879409981,0.06611830548887897
prc_end,0.1245675463102145,-0.13216773910532428,-0.10935244468996368,-0.3750694058878459,0.27460656241333475,-0.15640833676733915,-0.07700392063024636,-0.07526468795683679
mv_end,0.14330176499225633,-0.2527767043271656,-0.10042753923430749,-0.0554549265213947,0.12350999050988082,-0.14258423882839213,0.30163222612806484,-0.2571756811546582
vol_avg,0.0679597673207241,-0.2414447296153574,-0.1218904981654633,0.34475482212314656,0.11099640694469792,-0.12428074527417356,0.5694019623593267,-0.45104673796198486
atq,0.18476533846883672,-0.2721184647731129,-0.0024842311948958355,0.07006974392564225,-0.21401371126978963,-0.08680237964503999,-0.11934313335874147,0.026152245456601237
ceqq,0.20762205422230406,-0.3107790814356148,0.8260929691403236,0.11252219776069307,0.3145196664421509,0.23118657724265676,-0.0586401243752673,0.015162751458668676
cheq,0.12819646623587344,-0.30453598442369856,-0.04830218857772101,0.0598262974592413,-0.06440121168571031,-0.3101695733409462,0.34376966171675327,0.7761667344358459
cogsq,0.16438086498914645,-0.202884953092286,-0.1953387037835225,0.09902222633804954,0.061406873397043996,0.30323704913444627,-0.042390770066876325,0.016555468765510794
dlcq,0.13640921127152672,-0.20781993113705785,-0.11569729543708161,0.11042085953654983,-0.1739040966625732,0.0812460802501378,-0.3199096721423342,-0.06686981893514138
dlttq,0.1518152907705464,-0.22063629667821458,-0.13645870600222787,0.10707864017703587,-0.2190507574028144,0.04600476228157558,-0.2210909510571851,-0.2151626577518563
ltq,0.17846671911787304,-0.2530897222514119,-0.08428607146915235,0.0797038447736883,-0.2871207648980616,-0.04144354082238449,-0.24835743275421987,0.05249654794091634
niq,0.15660866897163314,-0.008310907780401696,-0.0025848701521989565,-0.07247719119996127,-0.019776249901148582,-0.0006073052051542642,-0.09154198719422812,-0.041897741172234194
saleq,0.2192178164811326,-0.20793322054491165,-0.20181002774261436,0.09164927609390715,0.0088665027915104,0.25688024248445135,-0.05931532127237609,0.04976618932690277
prccq,0.13305120314049912,-0.1382619712760713,-0.10091692111437114,-0.4042114180380129,0.27122260087412436,-0.15428177704245805,-0.10850657703990521,-0.03878207767897241
prclq,0.13892129907208775,-0.13440480910160948,-0.08758517570133612,-0.41091860440380384,0.24520570303602574,-0.14064194620664205,-0.11241429824979224,-0.04146145507085615
roa,0.7942758402639781,0.55932508106044,0.03398568622136233,0.12946304528291902,0.0019413356261672537,-0.1505425308174759,0.045836803299595275,-0.0020428769936416905
asset_turnover,0.07020199026430173,0.07887535366132672,-0.3408936356900664,0.04519177592160441,0.3892532454046246,0.6284695602617529,0.12104864074368926,0.23617064692490372
