feature,clean_feature,family,importance,importance_share
momentum_score,momentum_score,Composite/unsupervised,1.1483283907437938,0.040100696599513055
log_market_cap,log_market_cap,Market behavior,0.8481750169371164,0.02961906131699111
log_market_cap_month_rank,log_market_cap_month_rank,Relative position,0.572382473912755,0.019988128927463895
sic2_24,sic2_24,Context/categorical,0.5467547192225507,0.019093183871988103
low_volatility_6m_month_rank,low_volatility_6m_month_rank,Relative position,0.4576394867227114,0.0159811969789736
volatility_6m_month_rank,volatility_6m_month_rank,Relative position,0.45763948672270416,0.01598119697897335
log_market_cap_industry_relative,log_market_cap_industry_relative,Relative position,0.43493565412675916,0.015188358005457753
sic2_17,sic2_17,Context/categorical,0.4344055090624416,0.015169844846200096
sic2_23,sic2_23,Context/categorical,0.42724018685002385,0.01491962512299722
sic2_48,sic2_48,Context/categorical,0.4145299390180644,0.01447577143434646
risk_adjusted_momentum,risk_adjusted_momentum,Composite/unsupervised,0.37803698784532974,0.013201403601247072
sic2_29,sic2_29,Context/categorical,0.362723859553127,0.012666654903413956
sic2_22,sic2_22,Context/categorical,0.36102249026039324,0.012607241503587227
momentum_6m_month_rank,momentum_6m_month_rank,Relative position,0.35699842840068463,0.01246671751669065
market_excess_momentum_6m,market_excess_momentum_6m,Market behavior,0.34967223379606727,0.012210879979765816
sic_division_Agriculture,sic_division_Agriculture,Context/categorical,0.3179207190386915,0.011102087520985125
quality_score,quality_score,Composite/unsupervised,0.31574784502513725,0.011026208737294976
sic2_40,sic2_40,Context/categorical,0.3030971270259845,0.010584433885833336
sic2_39,sic2_39,Context/categorical,0.3003737374189278,0.01048933058503964
risk_score,risk_score,Composite/unsupervised,0.29151749856655934,0.010180062478377558
momentum_12m_month_rank,momentum_12m_month_rank,Relative position,0.2912702482362819,0.010171428266632464
sic2_1,sic2_1,Context/categorical,0.281276639648744,0.009822442149826999
momentum_6m,momentum_6m,Market behavior,0.2647823919106619,0.00924644766121768
sic2_70,sic2_70,Context/categorical,0.25262191159264474,0.008821792366035697
sic2_28,sic2_28,Context/categorical,0.2511832480745795,0.008771552896462576
sic2_25,sic2_25,Context/categorical,0.24889370759518933,0.008691600011158696
sic2_62,sic2_62,Context/categorical,0.2481301594485581,0.008664936198947848
sic2_67,sic2_67,Context/categorical,0.24556690446690288,0.008575424948372592
sic2_16,sic2_16,Context/categorical,0.24226538875953516,0.008460132945869784
sic2_35,sic2_35,Context/categorical,0.23045661948200222,0.008047759727695426
sic_division_Construction,sic_division_Construction,Context/categorical,0.22264402528918462,0.007774936664269839
sic2_63,sic2_63,Context/categorical,0.22090581247382923,0.007714236654328604
sic2_20,sic2_20,Context/categorical,0.2124699401813133,0.007419648139334816
sic2_34,sic2_34,Context/categorical,0.2100850575605909,0.007336365817683693
sic2_33,sic2_33,Context/categorical,0.209414308281535,0.0073129426283324835
share_type_UG,share_type_UG,Context/categorical,0.1983570127907443,0.0069268115744793605
sic2_56,sic2_56,Context/categorical,0.19535201548489461,0.006821874270642275
sic2_65,sic2_65,Context/categorical,0.192162133096143,0.00671048060756598
sic2_78,sic2_78,Context/categorical,0.1874904438713706,0.006547340870083333
volatility_6m_industry_rank,volatility_6m_industry_rank,Relative position,0.18405012565073472,0.006427201754579852
sic2_30,sic2_30,Context/categorical,0.18362762967263618,0.006412447801643732
value_score,value_score,Composite/unsupervised,0.1809809937093964,0.006320024809556517
share_type_AD,share_type_AD,Context/categorical,0.17529195670717093,0.006121358340444942
sic2_32,sic2_32,Context/categorical,0.17152733211312143,0.005989894144424096
sic2_27,sic2_27,Context/categorical,0.17101725532337606,0.005972081787999829
sic2_59,sic2_59,Context/categorical,0.17014943387071307,0.005941776654854731
sic2_87,sic2_87,Context/categorical,0.1701024987434273,0.00594013763650918
sic2_12,sic2_12,Context/categorical,0.16189952337828642,0.005653682099066855
sic2_60,sic2_60,Context/categorical,0.15267040070807453,0.0053313925422980475
sic2_46,sic2_46,Context/categorical,0.15166049639374377,0.005296125743331869
sic2_58,sic2_58,Context/categorical,0.14950596678672326,0.005220887563398134
sic_division_Mining,sic_division_Mining,Context/categorical,0.14850234430039908,0.005185840131714879
calendar_month_name_April,calendar_month_name_April,Context/categorical,0.14536846491148123,0.005076402145536498
calendar_month_name_September,calendar_month_name_September,Context/categorical,0.1452779498113416,0.005073241273962102
sic2_infrequent_sklearn,sic2_infrequent_sklearn,Context/categorical,0.14069851683368764,0.004913323210527513
atq_missing,atq_missing,Accounting fundamentals,0.1394805888960261,0.004870792032946332
quality_value_interaction,quality_value_interaction,Composite/unsupervised,0.13834588133238282,0.004831166988311357
calendar_month_name_March,calendar_month_name_March,Context/categorical,0.1358843548055947,0.0047452081900982
sic2_99,sic2_99,Context/categorical,0.13569141928513195,0.004738470702083702
sic_division_Other,sic_division_Other,Context/categorical,0.13569141928513195,0.004738470702083702
low_liabilities_to_assets_month_rank,low_liabilities_to_assets_month_rank,Relative position,0.13509599540637768,0.004717677945845597
liabilities_to_assets_month_rank,liabilities_to_assets_month_rank,Relative position,0.1350959954063743,0.004717677945845479
