model,split,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,log_loss,brier_score,positive_rate,predicted_positive_rate
Logistic Regression,train,0.5,0.6056814629571741,0.6015021353695545,0.5120962246149653,0.5794089866414789,0.5436770278458575,0.6458673664595063,0.550599372731656,0.659051471017993,0.23338172274742708,0.4054157549234136,0.4587058455767427
Logistic Regression,validation,0.5,0.6153271028037384,0.5843323103375522,0.46675531914893614,0.4733402489626556,0.4700247218788628,0.6085986150148781,0.4498466147953954,0.6674192799996504,0.2370119488737318,0.3603738317757009,0.3654579439252336
Logistic Regression,test,0.5,0.5463413308697661,0.5281629002690729,0.44646940613956065,0.42525245858359184,0.43560273139071054,0.5361326072265471,0.4423606577905186,0.6970247415075299,0.2513379101246766,0.41167839578295246,0.3921147732521805
Random Forest,train,0.43500000000000005,0.635901844326352,0.6738067483428023,0.5309496212520343,0.8741831640225919,0.6606453492606891,0.7758644317106153,0.7082257664455882,0.5985766889134153,0.20579330939752585,0.4054157549234136,0.6674976555173492
Random Forest,validation,0.43500000000000005,0.5791775700934579,0.6053711522465084,0.4464463138371862,0.6991701244813278,0.5449326919189877,0.6338743236951043,0.47008173314868096,0.6469475429634648,0.2276125912331945,0.3603738317757009,0.5643738317757009
Random Forest,test,0.43500000000000005,0.4871070293182621,0.5047030729379179,0.4154830512320189,0.60431654676259,0.4924169086802194,0.5202123276218733,0.4336935799019504,0.6878171409469003,0.24740168763913215,0.41167839578295246,0.5987827079314186
HistGradientBoosting,train,0.42000000000000004,0.6868630822131916,0.7156278815397141,0.5754813470045258,0.8676870289338242,0.6920019985395288,0.8150541706667063,0.7531958155833225,0.5386238268272104,0.18133192208661275,0.4054157549234136,0.6112691466083151
HistGradientBoosting,validation,0.42000000000000004,0.589607476635514,0.6090406595352018,0.4536125364027181,0.6786307053941909,0.5437619483002244,0.6352495931863873,0.4480117905139892,0.6479587985362614,0.22811542726088055,0.3603738317757009,0.5391401869158878
HistGradientBoosting,test,0.42000000000000004,0.48789500855908485,0.48717071930972167,0.39920366532126106,0.48307042439442943,0.43715096311781393,0.47893291100513713,0.3819069628179996,0.7611394204283177,0.2764442289568589,0.41167839578295246,0.4981659103877401
Logistic Regression,test_refit_train_validation,0.5,0.558133847784148,0.530634741008499,0.45546380181191376,0.3749587485974523,0.4113090066608746,0.5502386054892724,0.45000048556070926,0.6883502334772411,0.24724196557453765,0.41167839578295246,0.3389125886476646
